"r1","r2","commit","bug","msg_size","author_experience","nbr_insert_line_commit","nbr_deleted_line_commit","nbr_churn_file_commit","week_day","month_day","month","MaxNesting","CountDeclFunction","Cyclomatic","CountLineCode","CountStmtDecl","CountLineBlank_Php","RatioCommentToCode","freq","pic","predict"
"4.4.2","4.5","3e9c88d7",1,47,604,9,3,2,"Fri",12,"Feb",0,0,1,6,0,4,4.17,5,"1","0"
"3.3.2","3.4","2fa80661",1,6,7123,1,0,1,"Mon",21,"May",6,92,1,1818,189,461,0.74,1,"1","0"
"4.4.2","4.5","6d8a3f36",0,40,604,6,5,2,"Tue",23,"Feb",6,106,1,2309,211,597,0.91,4,"1","0"
"3.2.1","3.3","c65d96de",1,8,148,75,84,10,"Sun",20,"Nov",2,16,1,482,25,153,0.35,24,"1","0"
"2.9.2","3.0","9d2b6b60",1,18,404,23,14,2,"Tue",16,"Feb",6,43,1,1215,69,331,0.78,2,"1","0"
"2.6.5","2.7","4df81bd7",0,3,4353,1,1,1,"Wed",10,"Dec",3,0,15,107,0,19,0.06,1,"1","0"
"2.9.2","3.0","e840bb11",0,8,404,62,63,1,"Mon",3,"May",6,59,1,1539,142,363,0.62,54,"1","0"
"2.9.2","3.0","8b50d044",1,7,6042,1,1,1,"Fri",28,"May",8,0,103,671,0,61,0.02,1,"1","0"
"4.6.1","4.7","1dd88e33",1,23,720,2,10,2,"Mon",31,"Oct",0,0,1,6,0,4,4.17,1,"1","0"
"2.7.1","2.8","0c5293c8",1,14,531,1,1,1,"Tue",7,"Apr",2,0,4,49,0,2,0.1,1,"1","0"
"3.3.2","3.4","b2fd3955",0,9,7123,1,1,1,"Wed",30,"May",1,0,4,101,0,31,0.12,1,"1","0"
"4.3.1","4.4","69aeed3b",0,19,696,3,3,3,"Mon",7,"Dec",0,0,1,6,0,4,4.17,2,"1","0"
"3.7.1","3.8","7b391091",0,96,1703,9,7,1,"Sun",8,"Dec",1,0,5,130,1,31,0.1,5,"1","0"
"4.4.2","4.5","13f76b11",0,13,817,3,3,2,"Mon",22,"Feb",5,80,1,1473,93,321,1.17,1,"1","0"
"2.8.6","2.9","1e234925",1,9,5322,1,1,1,"Thu",19,"Nov",5,19,1,602,24,87,0.31,1,"1","0"
"4.3.1","4.4","2cdeac7c",0,11,443,3,2,2,"Mon",23,"Nov",0,0,1,6,0,4,4.17,1,"1","0"
"3.2.1","3.3","e0b10ef8",1,15,71,10,10,1,"Mon",7,"Nov",5,37,1,743,60,220,0.73,6,"1","0"
"3.5.2","3.6","e9afe4c5",1,52,263,69,43,5,"Thu",18,"Jul",5,53,1,1179,73,230,0.45,8,"1","0"
"4.6.1","4.7","901c4ed1",1,27,84,41,19,4,"Thu",3,"Nov",0,0,1,6,0,4,4.17,19,"1","0"
"3.5.2","3.6","6c89e06a",1,9,207,1,1,1,"Mon",8,"Jul",3,17,1,465,29,180,0.58,1,"1","0"
"2.9.2","3.0","9fb09989",0,11,887,4,4,4,"Tue",4,"May",3,16,1,403,21,84,0.32,1,"1","0"
"4.3.1","4.4","c6c366fe",1,10,1248,3,3,2,"Wed",4,"Nov",5,0,17,108,0,29,0.25,2,"1","0"
"2.5","2.5.1","abeb8a54",0,9,3097,11,2,2,"Thu",17,"Apr",3,0,20,107,0,22,0.18,8,"1","0"
"4.4.2","4.5","54ab5fa6",1,46,1401,6,4,3,"Tue",23,"Feb",7,26,1,592,33,147,0.67,2,"1","0"
"2.2.3","2.3","c3155a54",1,10,34,16,12,2,"Tue",11,"Sep",1,0,2,70,0,11,0,16,"1","0"
"2.9.2","3.0","a47cdd86",1,18,404,4,1,1,"Sun",28,"Mar",3,30,1,309,35,48,0.09,2,"1","0"
"4.5.3","4.6","720106e1",0,36,1011,17,4,2,"Mon",4,"Jul",0,0,1,6,0,4,4.17,11,"1","0"
"4.3.1","4.4","20a42701",1,12,1945,7,4,2,"Fri",18,"Sep",2,0,10,161,0,21,0.18,4,"1","0"
"2.5.1","2.6","ffc00777",1,13,3442,4,0,1,"Sun",6,"Jul",4,39,1,601,73,147,0.13,2,"1","0"
"3.9.2","4.0","e32fc4df",0,13,2479,17,1,1,"Fri",22,"Aug",6,13,1,296,16,59,0.52,4,"1","0"
"2.9.2","3.0","09c448f6",0,21,887,10,2,1,"Tue",1,"Jun",4,19,1,621,26,162,0.45,6,"1","0"
"2.8.6","2.9","7a443a7b",1,14,682,4,1,1,"Sun",13,"Dec",4,48,10,752,83,72,0.11,2,"1","0"
"4.4.2","4.5","470110ec",1,87,29,14,2,2,"Tue",22,"Mar",0,0,1,6,0,4,4.17,5,"1","0"
"4.0.1","4.1","1f8f2e5b",1,12,527,25,3,2,"Sun",7,"Dec",6,48,1,669,81,213,1.23,1,"1","0"
"2.9.2","3.0","fedd1a12",1,19,404,1,1,1,"Wed",7,"Apr",6,59,1,1552,142,358,0.62,1,"1","0"
"4.6.1","4.7","21e0f964",0,16,101,22,1,2,"Wed",26,"Oct",0,0,1,6,0,4,4.17,5,"1","0"
"2.0.3","2.0.4","418ba348",0,8,878,6,2,1,"Thu",6,"Jul",7,38,1,862,43,95,0.13,6,"1","0"
"3.5.2","3.6","4d0ba2dc",0,24,1092,14,6,1,"Thu",1,"Aug",1,0,8,127,0,33,0.13,6,"1","0"
"3.9.2","4.0","7297f609",0,8,289,2,2,1,"Fri",15,"Aug",5,9,1,381,11,57,0.29,1,"1","0"
"2.5.1","2.6","c68af8c7",0,8,229,220,15,1,"Sun",15,"Jun",3,16,1,126,16,50,1.63,2,"1","0"
"2.0","2.0.1","9675f5fd",0,9,731,28,82,2,"Thu",5,"Jan",1,5,7,57,5,17,0.32,14,"1","0"
