"r1","r2","commit","bug","msg_size","author_experience","nbr_insert_line_commit","nbr_deleted_line_commit","nbr_churn_file_commit","week_day","month_day","month","MaxNesting","CountDeclFunction","Cyclomatic","CountLineCode","CountStmtDecl","CountLineBlank_Php","RatioCommentToCode","freq","pic","predict"
"2.9.2","3.0","f80b6092",0,7,887,3,3,2,"Wed",2,"Jun",1,0,14,286,0,25,0.03,3,"1","0"
"3.7.1","3.8","2b3e31d6",1,17,106,2,5,2,"Fri",29,"Nov",4,6,14,439,10,53,0.15,2,"1","0"
"3.2.1","3.3","f6047c39",0,8,1527,9,9,2,"Mon",5,"Dec",5,1,1,129,3,30,0.24,2,"1","0"
"3.9.2","4.0","8f73ec76",1,19,842,17,1,1,"Thu",7,"Aug",4,26,5,325,43,105,1.51,9,"1","0"
"3.4.2","3.5","1b995596",1,11,658,1,1,1,"Tue",11,"Sep",6,43,1,806,83,232,1.29,1,"1","0"
"4.3.1","4.4","ffb8ae1a",0,10,1945,2,2,2,"Thu",24,"Sep",0,0,1,6,0,4,4.17,1,"1","0"
"3.5.2","3.6","5744245c",1,16,207,1,1,1,"Tue",25,"Jun",5,0,41,255,0,46,0.04,1,"1","0"
"4.1","4.1.1","73ce2607",1,60,248,29,17,1,"Tue",10,"Feb",6,14,1,459,23,145,0.87,12,"1","0"
"3.4","3.4.1","9f844ee1",1,38,164,5,20,3,"Mon",25,"Jun",6,43,1,806,83,232,1.29,2,"1","0"
"4.6.1","4.7","7eece8b1",0,15,285,2,2,2,"Wed",19,"Oct",7,25,1,589,32,149,0.65,1,"1","0"
"2.3.3","2.5","21d3dd2a",1,14,423,2,1,1,"Wed",6,"Feb",7,41,1,444,46,110,0.03,2,"1","0"
"4.3.1","4.4","a579aad0",1,53,328,17,2,1,"Fri",23,"Oct",6,102,1,3214,114,1018,0.68,6,"1","0"
"2.3.1","2.3.2","9495e906",1,12,2083,8,0,2,"Wed",7,"Nov",5,70,1,1404,114,381,0.09,4,"1","0"
"3.7.1","3.8","f665c7ee",0,36,1703,21,22,1,"Thu",14,"Nov",5,70,1,1215,83,237,0.8,7,"1","0"
"2.0.4","2.0.5","23ddeba6",1,13,44,5,4,2,"Wed",4,"Oct",5,151,2,1956,245,457,0.06,3,"1","0"
"4.4.2","4.5","27e29666",1,138,156,4,1,2,"Sun",6,"Mar",0,0,1,6,0,4,4.17,1,"1","0"
"4.4.2","4.5","f1c0ed71",1,45,604,4,1,2,"Sat",6,"Feb",6,106,1,2347,213,607,0.91,1,"1","0"
"2.2.3","2.3","dbd3d072",1,6,349,21,3,3,"Tue",18,"Sep",5,25,26,479,35,131,0.12,5,"1","0"
"2.9.2","3.0","5398fafd",0,26,887,16,0,2,"Thu",27,"May",4,0,63,347,0,90,0.05,2,"1","0"
"3.2.1","3.3","4a610eaa",0,22,1002,52,46,3,"Fri",12,"Aug",7,14,1,291,33,74,0.84,16,"1","0"
"4.3.1","4.4","340b7a52",1,7,696,3,3,2,"Thu",24,"Sep",4,0,74,457,1,101,0.4,2,"1","0"
"3.2.1","3.3","3aed7560",0,16,2107,13,2,1,"Thu",1,"Dec",5,3,1,401,8,43,0.33,1,"1","0"
"3.3.2","3.4","2a615d27",1,7,2615,13,21,1,"Fri",27,"Apr",5,0,47,234,0,48,0.04,13,"1","0"
"3.7.1","3.8","618406d0",1,11,1703,2,2,1,"Wed",4,"Dec",2,16,1,604,25,178,0.31,2,"1","0"
"4.5.3","4.6","2ecdbf36",1,60,23,3,3,2,"Wed",13,"Jul",0,0,1,6,0,4,4.17,1,"1","0"
"2.9.2","3.0","e4aabba9",1,10,887,1,1,1,"Sun",4,"Apr",7,79,1,1481,89,256,0.75,1,"1","0"
"2.0","2.0.1","3fa51b52",1,13,731,2,2,1,"Fri",20,"Jan",5,55,1,1346,131,280,0.08,1,"1","0"
"3.4.2","3.5","e52a437b",1,14,264,45,3,1,"Mon",26,"Nov",3,14,1,243,16,65,0.66,2,"1","0"
"2.8.6","2.9","e2c408bf",1,11,5322,1,1,1,"Thu",10,"Dec",4,30,1,310,35,47,0.09,1,"1","0"
"2.0","2.0.1","f6c66d87",1,13,731,1,0,1,"Wed",18,"Jan",5,55,1,1346,131,280,0.08,1,"1","0"
"2.9.2","3.0","b56ae0e0",0,12,404,68,48,6,"Mon",1,"Mar",2,13,1,485,20,144,0.28,21,"1","0"
"3.6.1","3.7","32917eb0",1,14,1413,1,1,1,"Wed",2,"Oct",5,70,1,1193,83,233,0.81,1,"1","0"
"3.6.1","3.7","77a7702d",0,31,80,9,4,1,"Wed",25,"Sep",4,5,74,498,8,114,0.16,2,"1","0"
"4.6.1","4.7","6c435f5a",1,29,28,24,6,3,"Wed",9,"Nov",0,0,1,6,0,4,4.17,1,"1","0"
"3.3.2","3.4","58050466",1,32,2615,1,1,1,"Wed",25,"Apr",6,88,1,2894,100,933,0.4,1,"1","0"
"4.6.1","4.7","863505cf",1,25,403,2,2,2,"Mon",21,"Nov",0,0,1,6,0,4,4.17,1,"1","0"
"3.4.2","3.5","884a8905",0,22,658,1,4,1,"Tue",11,"Sep",6,19,1,792,38,206,0.12,1,"1","0"
"2.9.2","3.0","44ae35ec",1,21,404,7,4,2,"Fri",2,"Apr",3,0,47,213,0,46,0.09,2,"1","0"
"2.5.1","2.6","2abe38c5",0,3,3442,1,1,1,"Thu",8,"May",2,39,1,298,58,67,1.37,1,"1","0"
"2.3.3","2.5","4e456034",0,9,2995,17,7,8,"Tue",4,"Mar",3,24,1,510,39,131,0.08,2,"1","0"
"2.9.2","3.0","f423a2ee",1,5,887,37,33,1,"Wed",24,"Feb",4,36,2,582,81,152,1.38,14,"1","0"
"2.9.2","3.0","6a201c6b",1,14,887,6,3,1,"Fri",2,"Apr",4,5,11,286,7,37,0.19,1,"1","0"
"4.3.1","4.4","c332da3e",0,12,1248,5,3,2,"Tue",13,"Oct",0,0,1,6,0,4,4.17,1,"1","0"
"2.8.6","2.9","f296da81",0,6,1042,5,9,2,"Sat",28,"Nov",4,48,1,910,71,262,0.78,4,"1","0"
"4.6.1","4.7","6f13b829",0,23,293,2,2,2,"Wed",2,"Nov",0,0,1,6,0,4,4.17,1,"1","0"
"2.7.1","2.8","a1d5fbae",1,20,5042,1,7,1,"Thu",14,"May",6,40,1,734,81,221,1.33,1,"1","0"
"3.2.1","3.3","4a610eaa",0,22,1002,52,46,3,"Fri",12,"Aug",6,43,1,785,83,227,1.26,16,"1","0"
"3.4.2","3.5","1f9d02ab",0,13,264,3,3,2,"Thu",4,"Oct",5,55,1,1402,68,356,0.06,1,"1","0"
"4.3.1","4.4","43d1ab47",0,33,499,10,3,3,"Fri",4,"Dec",0,0,1,6,0,4,4.17,6,"1","0"
"3.5.2","3.6","cbf77c65",0,37,329,34,34,3,"Thu",18,"Jul",7,127,1,2023,154,431,0.8,12,"1","0"
"2.8.6","2.9","908c4a24",1,10,682,1,1,1,"Sun",22,"Nov",5,19,1,602,24,87,0.31,1,"1","0"
"3.5.2","3.6","24553b2f",1,37,263,20,14,1,"Mon",15,"Jul",2,2,1,105,2,21,0.07,9,"1","0"
"2.3.3","2.5","f2313a90",1,9,2995,11,9,1,"Fri",22,"Feb",5,39,2,814,56,141,0.07,3,"1","0"
"3.7.1","3.8","1832d880",0,11,1703,2,1,1,"Fri",15,"Nov",4,7,1,235,9,50,0.52,1,"1","0"
"2.7.1","2.8","aea091d8",1,8,802,4,5,1,"Sun",10,"May",3,5,1,136,10,30,0.35,3,"1","0"
"2.6.5","2.7","b3745318",0,9,4353,4,1,1,"Fri",5,"Dec",4,40,1,816,63,229,0.73,3,"1","0"
"4.6.1","4.7","39433ad0",1,15,153,2,2,2,"Wed",19,"Oct",4,25,1,862,29,191,0.53,1,"1","0"
"3.7.1","3.8","addc2a8f",0,8,620,2,2,1,"Tue",3,"Dec",3,13,7,243,14,61,0.91,1,"1","0"
"3.3.2","3.4","08c3cb24",1,18,2615,7,3,2,"Thu",7,"Jun",5,54,1,1157,75,216,0.46,3,"1","0"
"3.6.1","3.7","75eb364c",1,21,80,13,8,1,"Wed",9,"Oct",4,22,1,924,32,146,0.25,8,"1","0"
"3.9.2","4.0","0add6e52",1,10,645,1,1,1,"Thu",28,"Aug",5,0,48,236,0,48,0.03,1,"1","0"
"2.7.1","2.8","21a52445",0,16,802,4,4,3,"Fri",17,"Apr",1,0,2,109,0,19,0.06,4,"1","0"
"3.2.1","3.3","6fa755e6",1,16,575,1,1,1,"Wed",17,"Aug",6,38,39,976,53,251,0.58,1,"1","0"
"4.4.2","4.5","4d9c9b94",1,43,156,8,24,3,"Sun",10,"Apr",0,0,1,6,0,4,4.17,5,"1","0"
"3.5.2","3.6","44abe2e5",1,18,1092,2,2,2,"Mon",8,"Jul",6,63,1,1180,73,294,0.64,2,"1","0"
"2.9.2","3.0","d78b3c9f",1,7,806,2,2,1,"Sun",9,"May",7,125,1,2067,171,466,0.81,2,"1","0"
"3.6.1","3.7","f3c9b36f",1,10,478,2,3,1,"Wed",25,"Sep",1,0,2,40,0,4,0.25,1,"1","0"
"4.0.1","4.1","b0a24160",1,39,183,3,1,2,"Tue",2,"Dec",0,0,1,6,0,4,4.17,2,"1","0"
"4.2.4","4.3","e2b10dad",1,21,286,11,1,2,"Sun",9,"Aug",6,56,7,1561,100,386,0.51,2,"1","0"
"4.5.3","4.6","7fec14f3",1,34,1011,5,3,4,"Wed",10,"Aug",0,0,1,6,0,4,4.17,1,"1","0"
"4.3.1","4.4","f2e9e98f",1,12,1945,2,2,2,"Wed",18,"Nov",0,0,1,6,0,4,4.17,1,"1","0"
"3.2.1","3.3","a4c18fc0",1,12,2107,5,9,2,"Mon",5,"Sep",6,18,1,361,23,65,0.45,2,"1","0"
"3.7.1","3.8","5b5a31e7",0,15,1703,4,3,2,"Sun",8,"Dec",2,16,1,601,25,176,0.31,2,"1","0"
"4.3.1","4.4","57c2ef26",0,14,1945,2,4,2,"Sat",10,"Oct",0,0,1,6,0,4,4.17,1,"1","0"
"3.5.2","3.6","e27f0200",1,18,263,17,2,1,"Mon",29,"Jul",4,29,1,886,41,233,0.35,11,"1","0"
"2.3.1","2.3.2","abb6a65d",0,6,2083,129,70,1,"Thu",27,"Dec",4,42,5,1455,61,473,0.15,40,"1","0"
"3.2.1","3.3","551198c5",1,11,71,2,1,1,"Sat",17,"Sep",4,43,1,1531,50,347,0.25,2,"1","0"
"3.6.1","3.7","dd8e15f6",0,14,123,13,0,1,"Fri",13,"Sep",3,41,1,996,68,311,0.25,3,"1","0"
"4.5.3","4.6","2d19f94f",1,17,1443,2,2,2,"Sun",17,"Jul",4,18,1,468,31,115,0.65,1,"1","0"
"3.7.1","3.8","1d0bce80",1,11,620,4,4,2,"Sun",24,"Nov",2,8,1,232,8,36,0.33,3,"1","0"
"3.7.1","3.8","236f388d",1,14,114,3,1,1,"Tue",26,"Nov",4,24,1,740,30,162,0.24,1,"1","0"
"2.9.2","3.0","19e2b4e4",0,7,3,18,3,1,"Mon",5,"Apr",3,6,4,221,10,64,0.32,13,"1","0"
"2.5.1","2.6","c678502b",0,8,229,127,0,1,"Tue",17,"Jun",4,53,5,1816,63,566,0.15,54,"1","0"
"2.7.1","2.8","b5d4fae3",0,7,632,1,1,1,"Fri",17,"Apr",1,0,2,26,0,4,0.27,2,"1","0"
"2.2.3","2.3","7931d5ec",1,10,349,1,5,1,"Sat",8,"Sep",5,0,33,181,0,39,0.04,1,"1","0"
"2.5.1","2.6","25b49b2c",1,15,447,2,2,2,"Fri",9,"May",4,48,5,1677,57,534,0.13,3,"1","0"
"2.0.4","2.0.5","906efe54",1,8,916,1,1,1,"Mon",25,"Sep",4,16,2,260,36,59,0.18,1,"1","0"
"4.3.1","4.4","43d1ab47",0,33,499,10,3,3,"Fri",4,"Dec",4,45,1,906,60,284,1.23,6,"1","0"
"4.4.2","4.5","7e8e3429",0,68,817,27,27,6,"Tue",8,"Mar",0,0,1,6,0,4,4.17,20,"1","0"
"2.3.3","2.5","5825c9a1",1,7,2995,1,0,1,"Sat",23,"Feb",5,1,39,259,1,52,0.01,1,"1","0"
"3.6.1","3.7","93f7757c",1,23,123,13,6,1,"Thu",12,"Sep",2,0,5,29,0,15,0.9,1,"1","0"
"3.2.1","3.3","33113c01",1,18,6889,4,4,2,"Fri",30,"Sep",1,0,5,42,0,15,0.21,2,"1","0"
"3.9.2","4.0","de59e21b",1,39,289,34,3,1,"Wed",3,"Sep",5,51,1,1633,86,472,0.38,11,"1","0"
"3.2.1","3.3","850ea83b",0,26,2107,10,10,2,"Fri",7,"Oct",1,0,2,60,0,26,0.15,2,"1","0"
"3.7.1","3.8","1b3e9d33",0,12,1703,8,5,2,"Wed",13,"Nov",2,16,1,591,25,173,0.3,4,"1","0"
"3.2.1","3.3","94dfc448",1,9,6889,4,6,1,"Fri",28,"Oct",6,91,1,1803,187,452,0.75,2,"1","0"
"3.7.1","3.8","21b51494",1,12,620,1,1,1,"Mon",9,"Dec",1,4,1,56,4,12,0.71,1,"1","0"
"3.4.2","3.5","db118bde",0,8,658,1,2,1,"Mon",17,"Sep",6,13,1,327,17,55,0.04,1,"1","0"
"4.4.2","4.5","055154cb",1,41,135,8,2,4,"Wed",9,"Mar",0,0,1,6,0,4,4.17,2,"1","0"
"4.3.1","4.4","95c55ca2",0,8,1248,4,4,4,"Thu",12,"Nov",0,0,1,6,0,4,4.17,2,"1","0"
"3.2.1","3.3","435b3a01",1,9,6889,28,0,1,"Mon",3,"Oct",4,0,40,214,0,44,0.05,13,"1","0"
"4.3.1","4.4","59b1c982",0,16,177,10,3,2,"Thu",29,"Oct",0,0,1,6,0,4,4.17,5,"1","0"
"4.5.3","4.6","20b329ba",1,15,459,18,13,3,"Fri",1,"Jul",0,0,1,6,0,4,4.17,1,"1","0"
"2.6.5","2.7","0f927649",0,4,4353,17,3,2,"Sun",7,"Dec",5,43,44,906,58,238,0.64,13,"1","0"
"4.2.4","4.3","dba7c50d",0,11,335,5,1,3,"Mon",17,"Aug",0,0,1,6,0,4,4.17,1,"1","0"
"2.6.5","2.7","d9778f61",0,12,402,4,1,1,"Sat",6,"Dec",6,31,1,578,42,171,0.87,2,"1","0"
"4.1.2","4.2","25a0ca9f",0,11,341,29,24,7,"Thu",23,"Apr",1,0,4,119,0,31,0.13,2,"1","0"
"2.7.1","2.8","28ee4bf3",0,11,802,2,0,1,"Tue",5,"May",4,53,1,761,66,165,0.16,1,"1","0"
"3.5.2","3.6","3b4f3dea",0,10,1092,31,18,2,"Tue",16,"Jul",4,46,1,606,97,179,1.58,8,"1","0"
"3.4.2","3.5","02d584b4",1,29,264,2,4,1,"Tue",23,"Oct",3,13,1,153,28,42,0.52,2,"1","0"
"2.7.1","2.8","457e211d",1,15,802,1,1,1,"Thu",14,"May",4,17,1,391,20,95,0.78,1,"1","0"
"2.3.3","2.5","8fe73691",1,12,423,1,1,1,"Mon",17,"Mar",5,39,2,862,56,152,0.06,1,"1","0"
"3.6.1","3.7","d87a3754",0,13,289,1,2,1,"Thu",19,"Sep",5,62,1,978,92,305,0.8,1,"1","0"
"3.7.1","3.8","cd465575",1,11,165,5,33,7,"Mon",9,"Dec",4,25,1,783,31,165,0.28,2,"1","0"
"3.5.2","3.6","405868ad",1,21,263,11,7,2,"Mon",29,"Jul",3,2,1,142,2,25,0.29,2,"1","0"
"4.5.3","4.6","e64b88cb",1,21,1443,4,3,3,"Mon",4,"Jul",6,62,1,1868,75,425,0.81,1,"1","0"
"2.7.1","2.8","f1408068",0,4,632,28,28,1,"Fri",17,"Apr",3,0,6,67,0,14,0.21,25,"1","0"
"3.5","3.5.1","8453c999",0,1,698,1,1,1,"Thu",24,"Jan",0,0,1,6,0,4,4.17,1,"1","0"
"2.9.2","3.0","bb2fb8cb",1,14,898,14,6,1,"Thu",11,"Mar",4,38,2,595,84,153,1.43,4,"1","0"
"2.7.1","2.8","18e6d80b",1,6,5042,1,1,1,"Tue",5,"May",3,0,4,49,0,5,0.1,1,"1","0"
"4.5.3","4.6","7e5885b8",1,84,23,2,2,2,"Wed",6,"Jul",6,62,1,1868,75,425,0.81,1,"1","0"
"2.0.4","2.0.5","23ddeba6",1,13,44,5,4,2,"Wed",4,"Oct",1,0,2,15,0,4,0,3,"1","0"
"2.0.3","2.0.4","7f6eafe9",0,3,878,2,2,1,"Sat",29,"Jul",4,16,2,260,36,59,0.18,2,"1","0"
"3.5.2","3.6","e6afcb4a",1,14,1092,1,1,1,"Wed",10,"Jul",2,9,1,294,13,49,0.29,1,"1","0"
"2.5.1","2.6","a16f47dc",1,6,3442,2,6,1,"Wed",25,"Jun",4,2,38,202,2,71,0.29,2,"1","0"
"3.2.1","3.3","b2560a30",1,14,2107,2,1,1,"Wed",2,"Nov",7,85,1,1620,99,273,0.72,2,"1","0"
"3.2.1","3.3","ba5c2141",1,8,2107,3,0,2,"Thu",18,"Aug",3,10,1,175,17,44,0.14,1,"1","0"
"3.7.1","3.8","6fa4ce22",1,32,1703,8,2,1,"Mon",2,"Dec",7,123,1,2426,185,704,0.82,6,"1","0"
"4.3.1","4.4","6dc9ffc0",1,21,1945,4,2,2,"Sat",19,"Sep",3,9,30,522,14,93,0.15,3,"1","0"
"4.4.2","4.5","072c791d",1,81,604,7,7,2,"Tue",23,"Feb",6,106,1,2300,211,596,0.91,6,"1","0"
"3.7.1","3.8","5624f82c",0,12,197,4,2,1,"Sun",24,"Nov",5,51,1,1561,86,453,0.32,2,"1","0"
"4.3.1","4.4","80654eb1",0,9,499,3,3,2,"Thu",1,"Oct",0,0,1,6,0,4,4.17,2,"1","0"
"2.5.1","2.6","ae3cca99",1,6,3442,1,1,1,"Tue",20,"May",6,52,1,1187,71,226,0.14,1,"1","0"
"2.8.6","2.9","60c6ba72",1,6,5322,1,8,1,"Wed",2,"Dec",7,59,1,1464,141,346,0.64,1,"1","0"
"2.9.2","3.0","0a30928c",0,10,887,6,3,3,"Fri",11,"Jun",3,9,16,385,13,53,0.07,4,"1","0"
"2.9.2","3.0","7629767c",0,12,35,10,7,1,"Thu",29,"Apr",5,65,1,1101,102,301,0.09,7,"1","0"
"3.7.1","3.8","2b3e31d6",1,17,106,2,5,2,"Fri",29,"Nov",3,0,17,275,0,30,0.13,2,"1","0"
"2.2.3","2.3","c0053404",1,8,349,1,2,1,"Sat",22,"Sep",3,29,1,463,49,118,0.04,1,"1","0"
"2.9.2","3.0","21f661bd",1,11,247,9,4,2,"Sat",27,"Feb",4,20,1,389,32,91,0.21,5,"1","0"
"2.9.2","3.0","ef484c0d",0,11,887,17,9,1,"Sat",15,"May",1,0,15,281,0,25,0.03,7,"1","0"
"3.2.1","3.3","5f60ab40",1,17,2107,5,3,2,"Mon",21,"Nov",6,13,1,328,17,56,0.04,1,"1","0"
"2.9.2","3.0","c345aa4b",0,14,887,1,1,1,"Sun",28,"Feb",4,74,1,944,99,291,0.79,1,"1","0"
"3.3.2","3.4","2b6e2d28",1,12,162,18,13,1,"Mon",14,"May",6,90,1,2945,102,947,0.41,1,"1","0"
"3.7.1","3.8","784bd415",1,29,96,10,7,1,"Thu",21,"Nov",4,25,1,537,37,143,0.75,10,"1","0"
"4.4.2","4.5","9af79e25",1,31,25,6,1,2,"Tue",15,"Mar",0,0,1,6,0,4,4.17,2,"1","0"
"2.3.3","2.5","cba49b61",1,11,2995,5,2,1,"Sun",17,"Feb",3,1,23,153,1,29,0,1,"1","0"
"2.7.1","2.8","9c1c3f7e",1,13,802,3,3,3,"Thu",23,"Apr",7,69,1,1349,78,210,0.71,1,"1","0"
"2.8.6","2.9","f53bef8b",1,12,1042,4,2,1,"Mon",16,"Nov",4,43,1,1501,50,318,0.26,3,"1","0"
"2.9.2","3.0","b4c50f1b",0,25,887,3,3,3,"Wed",19,"May",4,16,1,772,19,109,0.18,2,"1","0"
"3.7.1","3.8","9119d189",1,11,363,50,1,1,"Wed",13,"Nov",4,23,1,426,37,107,0.2,1,"1","0"
"4.4.2","4.5","49c7012a",0,29,135,2,1,2,"Tue",23,"Feb",0,0,1,6,0,4,4.17,1,"1","0"
"2.9.2","3.0","f98fc6e7",0,9,887,1,1,1,"Mon",14,"Jun",3,20,1,409,25,119,0.5,1,"1","0"
"4.2.2","4.2.3","63f64d59",1,25,265,40,25,3,"Fri",3,"Jul",4,63,1,1401,123,353,0.97,2,"1","0"
"4.3.1","4.4","be94558c",0,13,328,4,2,2,"Mon",16,"Nov",0,0,1,6,0,4,4.17,1,"1","0"
"4.2.4","4.3","2e73c24e",0,2,124,1,1,1,"Tue",18,"Aug",0,0,1,6,0,4,4.17,1,"1","0"
"2.9.2","3.0","994b00e8",1,15,404,1,1,1,"Sun",11,"Apr",4,84,1,1061,116,341,0.81,1,"1","0"
"2.7.1","2.8","cc26b034",0,7,5042,7,0,1,"Sun",1,"Mar",3,19,1,549,31,143,0.36,4,"1","0"
"2.7.1","2.8","a1bb9731",1,11,802,4,4,1,"Thu",7,"May",4,43,1,1434,51,298,0.27,4,"1","0"
"3.6.1","3.7","8bfa1e8d",1,10,1413,2,2,3,"Fri",18,"Oct",0,0,1,6,0,4,4.17,1,"1","0"
"2.5","2.5.1","ace86d3f",0,9,3097,1,5,1,"Thu",24,"Apr",5,39,40,653,53,189,0.78,1,"1","0"
"4.3.1","4.4","f173cdfb",1,13,499,11,3,2,"Thu",19,"Nov",6,57,7,1557,101,382,0.51,6,"1","0"
"2.8.6","2.9","dafb319e",0,10,1042,5,8,3,"Mon",30,"Nov",2,13,1,465,20,141,0.29,1,"1","0"
"3.5.2","3.6","a62e6812",1,16,263,2,0,1,"Fri",5,"Jul",5,26,1,355,37,90,0.9,2,"1","0"
"4.4.2","4.5","3a2ef071",0,66,3251,40,12,5,"Sat",6,"Feb",8,11,1,878,30,199,0.45,1,"1","0"
"2.3.3","2.5","7733c94c",1,14,190,26,26,1,"Tue",11,"Mar",5,1,37,276,1,54,0.01,24,"1","0"
"4.5.3","4.6","7e5885b8",1,84,23,2,2,2,"Wed",6,"Jul",0,0,1,6,0,4,4.17,1,"1","0"
"4.6.1","4.7","405def3d",1,26,197,3,4,2,"Sat",17,"Sep",0,0,1,6,0,4,4.17,1,"1","0"
"4.4.2","4.5","0c1cca99",1,80,32,8,4,2,"Sat",5,"Mar",0,0,1,6,0,4,4.17,4,"1","0"
"2.9.2","3.0","5bde56c7",1,26,404,5,4,1,"Sat",24,"Apr",6,33,1,981,52,260,0.38,2,"1","0"
"4.4.2","4.5","44f38aae",0,35,135,5,5,2,"Wed",23,"Mar",0,0,1,6,0,4,4.17,1,"1","0"
"3.6.1","3.7","040d18a6",1,38,75,77,33,1,"Mon",21,"Oct",3,8,1,177,15,69,1.14,2,"1","0"
"3.4.2","3.5","bb1d4979",1,9,658,1,1,1,"Mon",5,"Nov",3,0,11,149,0,27,0.06,1,"1","0"
"3.5.2","3.6","759298f8",1,25,263,1,1,1,"Fri",5,"Jul",5,11,1,542,11,109,0.15,1,"1","0"
"3.7.1","3.8","ed023536",1,10,1703,7,7,1,"Wed",11,"Dec",1,0,12,129,1,31,0.11,7,"1","0"
"2.7.1","2.8","e4bb49ee",0,16,802,28,0,1,"Wed",13,"May",6,47,1,601,76,171,0.76,10,"1","0"
"2.8.6","2.9","039a0041",0,7,5322,3,0,1,"Wed",18,"Nov",6,37,1,699,47,191,0.67,2,"1","0"
"2.9.2","3.0","73a11f4d",0,10,1969,2,2,1,"Tue",2,"Mar",6,40,41,922,54,237,0.62,2,"1","0"
"3.3.2","3.4","52e7e65d",1,13,7123,2,0,1,"Mon",14,"May",5,10,1,232,11,52,0.59,1,"1","0"
"2.3.3","2.5","12c62fa4",0,13,2995,2,2,2,"Wed",19,"Mar",5,35,1,419,43,45,0.11,1,"1","0"
"3.6.1","3.7","8f0f48e3",1,12,1413,2,2,1,"Thu",17,"Oct",7,131,1,2107,161,459,0.79,1,"1","0"
"4.4.2","4.5","376f7234",1,13,1344,4,5,2,"Mon",29,"Feb",4,76,1,1043,97,258,0.97,2,"1","0"
"3.4","3.4.1","9f844ee1",1,38,164,5,20,3,"Mon",25,"Jun",7,5,1,374,8,72,0.28,2,"1","0"
"3.0.5","3.1","20c5d823",1,17,1583,2,1,1,"Tue",8,"Feb",2,0,25,194,0,40,0.24,2,"1","0"
"3.4.2","3.5","3a8a6471",1,9,658,1,1,1,"Tue",6,"Nov",4,37,1,553,44,145,0.91,1,"1","0"
"3.4","3.4.1","40f55dad",1,13,2636,8,6,1,"Tue",26,"Jun",6,92,1,2943,104,947,0.42,5,"1","0"
"2.7.1","2.8","4e787135",0,10,531,7,7,3,"Fri",27,"Feb",6,52,1,1172,71,233,0.59,4,"1","0"
"4.3.1","4.4","3c1e05f7",1,12,1945,3,3,2,"Tue",22,"Sep",0,0,1,6,0,4,4.17,2,"1","0"
"3.1.3","3.1.4","dcf09a75",0,8,6541,15,5,1,"Mon",27,"Jun",4,6,1,233,8,41,0.48,13,"1","0"
"4.3.1","4.4","d63bb560",0,15,1248,4,3,2,"Sun",20,"Sep",0,0,1,6,0,4,4.17,1,"1","0"
"3.3.2","3.4","92423061",0,21,2615,2,2,2,"Thu",24,"May",2,9,1,300,13,49,0.25,2,"1","0"
"2.7.1","2.8","360720f6",0,11,802,3,4,1,"Sat",16,"May",6,3,69,424,5,53,0.08,1,"1","0"
"3.4.2","3.5","bee63749",1,28,658,4,2,2,"Wed",19,"Sep",2,0,11,84,0,17,0.17,1,"1","0"
"4.5.3","4.6","a72eb16e",1,38,372,10,8,2,"Thu",4,"Aug",3,11,1,306,24,75,0.52,8,"1","0"
"2.8.6","2.9","706def02",1,14,710,1,1,1,"Mon",7,"Dec",4,55,1,754,68,169,0.16,1,"1","0"
"2.9.2","3.0","b1d6ee58",0,29,6042,2,10,1,"Fri",30,"Apr",5,25,1,409,39,129,0.88,2,"1","0"
"2.9.2","3.0","6310ca6f",1,8,887,5,5,3,"Fri",11,"Jun",3,108,1,915,114,262,1.52,2,"1","0"
"4.7.1","4.7.2","ad0f6829",0,25,1065,69,31,2,"Thu",26,"Jan",0,0,1,6,0,4,4.17,13,"1","0"
"2.7.1","2.8","7510ca22",0,8,802,14,7,1,"Fri",20,"Mar",7,46,1,505,51,125,0.98,7,"1","0"
"2.3.3","2.5","8bd0691a",0,6,2995,44,20,4,"Tue",12,"Feb",2,0,14,106,0,40,0.01,3,"1","0"
"3.5.2","3.6","19947383",1,17,1092,4,1,1,"Wed",31,"Jul",3,15,8,230,19,69,0.99,4,"1","0"
"4.2.4","4.3","e6bc6242",1,22,124,16,9,7,"Mon",17,"Aug",0,0,1,6,0,4,4.17,7,"1","0"
"2.9.2","3.0","25dcb020",1,15,6042,10,5,1,"Fri",14,"May",4,16,1,768,19,108,0.19,7,"1","0"
"3.4.2","3.5","60be6645",0,14,658,1,1,1,"Sun",9,"Dec",2,0,6,103,0,26,0.08,1,"1","0"
"4.3.1","4.4","128a9c3a",1,12,1945,3,1,2,"Wed",11,"Nov",0,0,1,6,0,4,4.17,1,"1","0"
"3.6.1","3.7","21b24c1f",1,11,75,26,4,1,"Thu",17,"Oct",2,0,14,206,0,33,0.17,2,"1","0"
"3.3.2","3.4","1e500bd7",1,8,2615,1,13,2,"Wed",25,"Apr",4,0,35,205,0,32,0.04,1,"1","0"
"3.7.1","3.8","fcaa29f1",1,12,363,26,12,1,"Tue",26,"Nov",2,16,1,610,25,178,0.3,11,"1","0"
"2.2.3","2.3","76d0f296",0,16,349,2,1,1,"Thu",13,"Sep",4,71,1,1144,101,213,0.06,1,"1","0"
